tol,Ecut,c11,c12,c44,stress,dstress
0.01,18.0,153.0812297843994,56.42171070629316,99.68976790535801,"[-6.841277588629056e-7, -7.543134625018251e-7, -7.543134625018251e-7, 1.3045614089497442e-7, 0.0, 0.0]","[0.005203125254507355, 0.001917734971765557, 0.0019177349717655566, 0.0033883863471366356, 0.0, 0.0]"
0.0001,18.0,153.07990544170505,56.44260688044073,99.74090847099325,"[-2.1955044171600155e-7, -2.2459452661858581e-7, -2.2459452661858581e-7, -2.8428453650134292e-8, 0.0, 0.0]","[0.005203080241014007, 0.0019184452182901173, 0.0019184452182901168, 0.003390124579635559, 0.0, 0.0]"
1.0e-6,18.0,153.05048943175348,56.44207540963484,99.72662917190382,"[-7.689982776277764e-10, -8.01192649842132e-10, -8.011926498489082e-10, 4.14515140820514e-12, 0.0, 0.0]","[0.005202080411155823, 0.001918427153964556, 0.0019184271539645554, 0.0033896392361234024, 0.0, 0.0]"
1.0e-8,18.0,153.0503743905288,56.442072674077124,99.72657634483953,"[1.7944925881624575e-11, 1.6545151411569668e-11, 1.6545151418345932e-11, 4.03530437043566e-12, 0.0, 0.0]","[0.005202076500984064, 0.001918427060984839, 0.0019184270609848386, 0.0033896374405679793, 0.0, 0.0]"
1.0e-10,18.0,153.05037556264844,56.44207282266205,99.72657670559613,"[1.2101449277215314e-12, 1.2117948314173572e-12, 1.2117948381936208e-12, -3.6364846499205854e-14, 0.0, 0.0]","[0.005202076540823602, 0.001918427066035138, 0.0019184270660351375, 0.003389637452829847, 0.0, 0.0]"
1.0e-12,18.0,153.05037557410014,56.442072822721535,99.72657670995767,"[1.0057561657300813e-12, 1.0057124742919067e-12, 1.0057124742919067e-12, -1.8575974537059326e-15, 0.0, 0.0]","[0.0052020765412128375, 0.0019184270660371598, 0.0019184270660371596, 0.0033896374529780926, 0.0, 0.0]"
