tol,Ecut,c11,c12,c44,stress,dstress
0.01,41.0,1057.0696863905353,125.37631850583212,563.9065483952816,"[-1.1904996004676888e-5, -1.1300987005645607e-5, -1.1300987005645607e-5, -1.0783633585045099e-8, 0.0, 0.0]","[0.0359290684349681, 0.004261454458222115, 0.004261454458222115, 0.019166794043070697, 0.0, 0.0]"
0.0001,41.0,1056.8490382909592,125.18527055888477,564.6085604733753,"[3.297625278007917e-7, 3.470402555748629e-7, 3.4704025557487643e-7, 3.9574474364631266e-8, 0.0, 0.0]","[0.0359215687584834, 0.00425496087047799, 0.0042549608704779895, 0.01919065494866731, 0.0, 0.0]"
1.0e-6,41.0,1056.8862183861875,125.18133435923144,564.6238970559717,"[1.8555238139559088e-9, 1.8820086153159598e-9, 1.8820086153024072e-9, 4.227177625121897e-10, 0.0, 0.0]","[0.03592283248423684, 0.004254827081770832, 0.0042548270817708315, 0.019191176228515516, 0.0, 0.0]"
1.0e-8,41.0,1056.886415021664,125.18130992099478,564.6239726980127,"[-1.0378830122494221e-11, -9.631552893023428e-12, -9.631552920128482e-12, -5.025372737860412e-13, 0.0, 0.0]","[0.03592283916774086, 0.00425482625113205, 0.00425482625113205, 0.01919117879953624, 0.0, 0.0]"
1.0e-10,41.0,1056.8864147804034,125.18130987531111,564.6239727178955,"[-6.2366511580375476e-12, -6.216650634484518e-12, -6.216650661589572e-12, 7.529112564051766e-15, 0.0, 0.0]","[0.03592283915954057, 0.004254826249579294, 0.004254826249579294, 0.01919117880021204, 0.0, 0.0]"
1.0e-12,41.0,1056.886414754384,125.18130985122606,564.6239727363072,"[-5.16081760962845e-12, -5.1612304789163885e-12, -5.1612304789163885e-12, -7.806248628858222e-15, 0.0, 0.0]","[0.0359228391586562, 0.004254826248760659, 0.00425482624876066, 0.01919117880083784, 0.0, 0.0]"
