tol,h,Ecut,c11,c12,c44,stress1,stress2,dstress
1.0e-12,0.001,18.0,152.85420215843035,56.39871082357066,99.6704270175402,"[-5.201695535184866e-6, -1.9277920491788246e-6, -1.927792049178838e-6, -3.396034407860186e-6, 0.0, 2.117582368135751e-22]","[5.189121949469979e-6, 1.906114394100656e-6, 1.9061143941006628e-6, 3.379423519579932e-6, 0.0, -1.0587911840678754e-22]","[0.005195408742327422, 0.0019169532216397403, 0.0019169532216397505, 0.003387728963720059, 0.0, -1.5881867761018131e-19]"
1.0e-12,1.0e-5,18.0,153.05037615486495,56.4420736884482,99.72657734830644,"[-5.2020542888208356e-8, -1.918450290283851e-8, -1.9184502902845288e-8, -3.3897222769734984e-8, 6.776263578034403e-21, 2.8587361969832636e-21]","[5.2020988330844276e-8, 1.918403900641371e-8, 1.918403900637983e-8, 3.389552672376754e-8, 0.0, 4.235164736271502e-21]","[0.0052020765609526315, 0.001918427095462611, 0.0019184270954612558, 0.003389637474675126, -3.388131789017201e-16, 6.88214269644119e-17]"
1.0e-12,1.0e-7,18.0,153.05041000527402,56.44210309720246,99.72655692835286,"[-5.192017238152405e-10, -1.9083681552736374e-10, -1.9083681554091627e-10, -3.389659810202398e-10, 0.0, -1.6940658945086007e-21]","[5.212138184856902e-10, 1.9284880348180693e-10, 1.928488034885832e-10, 3.3896137510276216e-10, 0.0, 1.5881867761018131e-21]","[0.005202077711504653, 0.0019184280950458534, 0.0019184280951474973, 0.00338963678061501, 0.0, 1.641126335305207e-14]"
