tol,h,Ecut,c11,c12,c44,stress1,stress2,dstress
1.0e-12,0.001,29.0,32.431697377900676,5.468838861132774,4.921287315764782,"[-1.0050711570036806e-6, -8.731213838755292e-8, -8.731213838756647e-8, -1.689885746096948e-7, 0.0, 0.0]","[1.1995908242354064e-6, 2.8445197183376496e-7, 2.844519718337514e-7, 1.6555373803577073e-7, 0.0, 0.0]","[0.0011023309906195435, 0.00018588205511065894, 0.00018588205511065894, 0.00016727115632273276, 0.0, 0.0]"
1.0e-12,1.0e-5,29.0,32.606132267180385,5.509903687098566,4.975469177492661,"[8.846304316643051e-8, 9.767300562655212e-8, 9.767300562655212e-8, -1.6913081528095076e-9, 0.0, 0.0]","[1.1062824140662168e-7, 1.0141856203011942e-7, 1.0141856203013297e-7, 1.6909470546899111e-9, 0.0, 0.0]","[0.001108259912009558, 0.0001872778201783651, 0.00018727782017904273, 0.00016911276037497093, 0.0, 0.0]"
1.0e-12,1.0e-7,29.0,32.60573332677598,5.510014620296593,4.975455063889951,"[9.94351355023795e-8, 9.952723172736567e-8, 9.952723172737923e-8, -1.6911200133107162e-11, 0.0, 0.0]","[9.965678477283966e-8, 9.95646880455099e-8, 9.956468804552345e-8, 1.691125599956569e-11, 0.0, 0.0]","[0.0011082463523007936, 0.00018728159072113528, 0.00018728159072113528, 0.00016911228066336426, 0.0, 0.0]"
