tol,Ecut,c11,c12,c44,stress,dstress
0.01,29.0,31.114133976906132,5.146506731605534,4.546900862897584,"[2.029313920555694e-5, 2.038243000500317e-5, 2.038243000500317e-5, 3.261510033872202e-8, 0.0, 0.0]","[0.0010575479207697352, 0.00017492620868948502, 0.00017492620868948496, 0.0001545460194094594, 0.0, 0.0]"
0.0001,29.0,32.61107036793368,5.511029835398079,4.979193777380488,"[-5.2749152668056997e-8, 3.5815817284233584e-8, 3.5815817284233584e-8, -3.2119164442669596e-9, 0.0, 0.0]","[0.001108427754643008, 0.0001873160971811418, 0.00018731609718114175, 0.00016923935695226905, 0.0, 0.0]"
1.0e-6,29.0,32.60605864010837,5.50988548138476,4.975422313798042,"[1.0197852304066165e-7, 1.0084790515200385e-7, 1.008479051519903e-7, -2.4539564918850523e-13, 0.0, 0.0]","[0.0011082574094762405, 0.00018727720137872903, 0.00018727720137872903, 0.00016911116751036346, 0.0, 0.0]"
1.0e-8,29.0,32.6061366829891,5.509902507543284,4.97546895395512,"[9.954977021356428e-8, 9.955109743838171e-8, 9.955109743836816e-8, -8.567369401121449e-14, 0.0, 0.0]","[0.001108260062099846, 0.0001872777800860959, 0.0001872777800860959, 0.0001691127527770843, 0.0, 0.0]"
1.0e-10,29.0,32.606137045780955,5.509902647803274,4.975469069910733,"[9.954582677860458e-8, 9.954590067985799e-8, 9.954590067987154e-8, -1.407650529380625e-15, 0.0, 0.0]","[0.0011082600744308903, 0.00018727778485343606, 0.0001872777848534361, 0.0001691127567183355, 0.0, 0.0]"
1.0e-12,29.0,32.60613704076944,5.509902647168724,4.97546906646501,"[9.954596290540762e-8, 9.954596117602173e-8, 9.954596117603528e-8, -2.2041178574927918e-17, 0.0, 0.0]","[0.0011082600742605524, 0.00018727778483186813, 0.00018727778483186808, 0.00016911275660121776, 0.0, 0.0]"
