tol,h,Ecut,c11,c12,c44,stress1,stress2,dstress
1.0e-10,0.001,29.0,32.43169226234671,5.468840379963741,4.9212871608521604,"[-1.0050709354701116e-6, -8.731224970841755e-8, -8.731224970841755e-8, -1.689885700809243e-7, 0.0, 0.0]","[1.1995906980206842e-6, 2.844519637609311e-7, 2.844519637609311e-7, 1.6555373203379527e-7, 0.0, 0.0]","[0.0011023308167453978, 0.00018588210673467433, 0.00018588210673467433, 0.00016727115105735977, 0.0, 0.0]"
1.0e-10,1.0e-5,29.0,32.606781036082744,5.509985597183163,4.975489676823546,"[8.846268293896429e-8, 9.767266208271454e-8, 9.767266208270098e-8, -1.6913188986599198e-9, 0.0, 0.0]","[1.1062832220329211e-7, 1.014182741676257e-7, 1.0141827416763926e-7, 1.690950244001423e-9, 0.0, 0.0]","[0.0011082819632163908, 0.00018728060424555846, 0.00018728060424691372, 0.00016911345713306714, 0.0, 0.0]"
1.0e-10,1.0e-7,29.0,32.58851812577421,5.5004338175857,4.975662284407026,"[9.943511344865097e-8, 9.952722134668553e-8, 9.952722134667197e-8, -1.69126595199096e-11, 0.0, 0.0]","[9.965664569255312e-8, 9.956461253585657e-8, 9.956461253585657e-8, 1.6911205269209453e-11, 0.0, 0.0]","[0.001107661219510706, 0.00018695594585524476, 0.0001869559459230074, 0.00016911932394559527, 0.0, 0.0]"
